"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"internal","=~","x13","",1,0,NA,NA,1,1,0.811744905919264,0.613662257821361
"internal","=~","x34","",0.896318995081745,0.123767765377534,7.24194213531821,4.42312853010662e-13,0.682039904571264,1.17115357212132,0.72758237833628,0.691092877340916
"internal","=~","x31","",0.864890326838072,0.090623335982932,9.54379263858666,0,0.698421421394051,1.05519656748837,0.702070316989651,0.604793473862087
"internet","=~","x26","",1,0,NA,NA,1,1,0.420923559633421,0.475687626089746
"internet","=~","x35","",0.97791821786127,0.267395188475098,3.65720199917636,0.00025498343501873,0.599189700636529,1.6389937549209,0.411628817292537,0.52015439658499
"internet","=~","x17","",1.04830348648608,0.385350972980766,2.72038624523832,0.00652057026382846,0.512586423100867,1.99593904635519,0.441255635107845,0.342450003341537
"relation","=~","x7","",1,0,NA,NA,1,1,0.80465334874179,0.597732563339153
"relation","=~","x20","",0.926186775449551,0.123585278860263,7.49431310906196,6.66133814775094e-14,0.70957260090824,1.19790561046179,0.745259290425841,0.654614492117539
"relation","=~","x28","",0.695928640515167,0.108653737959382,6.40501333488705,1.50356171957355e-10,0.4906921132185,0.91780685127203,0.55998131107585,0.482387975395703
"relation","~","internet","ri",1.38830939081693,0.507467118858238,2.73576225774099,0.00622359718452059,0.809914681937992,2.75144978849618,0.726240848396307,0.726240848396307
"internal","~","relation","ir",0.825656822418711,0.125054623587518,6.6023694185196,4.04638544893032e-11,0.614972459368215,1.10893377884996,0.818443728104897,0.818443728104897
"anxiety","~","internal","ai",0.786249907013645,0.110683539770556,7.10358476647496,1.21569421196455e-12,0.599947056470884,1.03586012552175,0.638234356797821,0.648817892712084
"x13","~~","x13","",1.09083759027179,0.117005748343582,9.32294016075689,0,0.84358556607168,1.30302747988699,1.09083759027179,0.623418633325589
"x34","~~","x34","",0.579011104459253,0.0720893310673251,8.03185569746108,8.88178419700125e-16,0.437120972980375,0.719666859095902,0.579011104459253,0.522390634888654
"x31","~~","x31","",0.854653918814605,0.090549625681867,9.4385141007353,0,0.672477130799365,1.02426628159834,0.854653918814605,0.634224853973829
"x26","~~","x26","",0.605825156328208,0.0863807545967385,7.01342746027692,2.32547314737985e-12,0.434939791175598,0.771200258382898,0.605825156328208,0.773721282385102
"x35","~~","x35","",0.45681064419063,0.0811501821812063,5.62920047635363,1.81046870828538e-08,0.296806791389721,0.613541805014072,0.45681064419063,0.729439403713305
"x17","~~","x17","",1.46559198044753,0.118256381469373,12.393343701516,0,1.21564745018117,1.67989536667031,1.46559198044753,0.882727995211381
"x7","~~","x7","",1.16472334083989,0.112200493742864,10.3807327578178,0,0.936592660472743,1.37676319113439,1.16472334083989,0.642715782724006
"x20","~~","x20","",0.740703677326174,0.0872044916330781,8.49387071072853,0,0.562466885848056,0.906908832015268,0.740703677326174,0.571479866709696
"x28","~~","x28","",1.03399957287639,0.10076313293973,10.2616854270983,0,0.834709318551235,1.23097788906077,1.03399957287639,0.767301841193634
"anxiety","~~","anxiety","",0.560298931206941,0.0539469998509517,10.3860999268721,0,0.455482030918448,0.665508717139536,0.560298931206941,0.57903534209665
"internal","~~","internal","",0.217545581259809,0.0921475402800736,2.36083980753692,0.0182336049853051,0.0612819946379994,0.421175101385111,0.330149863925758,0.330149863925758
"internet","~~","internet","",0.17717664305447,0.0779579220248227,2.27272146887207,0.023042970058057,0.0594914764754602,0.359102457725112,1,1
"relation","~~","relation","",0.305976224554917,0.120861555820718,2.5316257305904,0.0113535105156528,0.0565741503875991,0.537293559607921,0.472574230120613,0.472574230120613
"med_ii",":=","ri*ir","med_ii",1.14626712015596,0.478119580015374,2.39744860505211,0.0165096968942853,0.613459095702782,2.43049339964459,0.594387267463536,0.594387267463536
"med_i",":=","med_ii*ai","med_i",0.901252416635422,0.379766416787418,2.37317565955264,0.017635874400693,0.470391104218484,1.90333013498252,0.379358375338405,0.385649094330586
"med_r",":=","ir*ai","med_r",0.649172599851893,0.104249900091903,6.22708126606938,4.75204764427417e-10,0.468141199373292,0.880931951966532,0.52235890638224,0.531020934972441
