"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"internal","=~","x34","",1,0,NA,NA,1,1,0.717412846072513,0.681433345564421
"internal","=~","x2","",0.697728249323555,0.117616638721409,5.93222401956429,2.98858471303731e-09,0.48165208697974,0.940918421239442,0.500559209132404,0.405778527355865
"internal","=~","x31","",0.912608699571315,0.125782498487974,7.25545056380457,4.00346422679831e-13,0.688630654369284,1.17981186720125,0.654717204509992,0.56400136346481
"internal","=~","x14","",0.461922464895829,0.0881536449858992,5.23997011093208,1.60602607435223e-07,0.298435565234437,0.642338546114548,0.331389110205747,0.39669056674104
"relation","=~","x10","",1,0,NA,NA,1,1,0.741373036199259,0.605038917087764
"relation","=~","x7","",1.17445922960255,0.16421439444718,7.15198709319189,8.55315818171221e-13,0.913812516886817,1.55372015981157,0.870712404942688,0.646804270917539
"relation","=~","x19","",1.22219226698918,0.173226604094206,7.05545359721138,1.72040159895914e-12,0.953160206312538,1.62734079580443,0.906100391797023,0.68269062685172
"relation","=~","x28","",0.848405555238477,0.118575641155977,7.1549733736836,8.36886115962443e-13,0.633531228084051,1.09736304124952,0.628985002415468,0.541830338541886
"relation","=~","x20","",1.01735853087043,0.125061012383211,8.13489761104001,4.44089209850063e-16,0.813694394993139,1.30651493203729,0.754242182934626,0.662504814584854
"internal","~","relation","ir",0.751380077943852,0.123959621500371,6.06149057934647,1.34865785206273e-09,0.546497372179127,1.03684174786818,0.776474707380086,0.776474707380086
"depression","~","internal","di",1.2051141205505,0.392813782104292,3.06790182893977,0.00215567422972729,0.783045759222744,2.16938066375293,0.864564351066311,0.841273435311271
"depression","~","relation","dr",-0.151476999655458,0.325425188775238,-0.465474108582538,0.641591974143489,-0.971737379613598,0.211318051265887,-0.112300963148921,-0.109275633375972
"x34","~~","x34","",0.593706091672361,0.0756617682754574,7.84684399009668,4.21884749357559e-15,0.442054405953985,0.738016561190778,0.593706091672361,0.53564859555288
"x2","~~","x2","",1.27115360929893,0.0893830595609296,14.2214152831994,0,1.08554028298466,1.43776599623656,1.27115360929893,0.835343786736906
"x31","~~","x31","",0.918902551500525,0.0873718549636944,10.5171459605883,0,0.743271281251487,1.08520005660564,0.918902551500525,0.681902462009836
"x14","~~","x14","",0.588048349707202,0.0625123955442904,9.40690793541206,0,0.469717171997811,0.713694404202536,0.588048349707202,0.842636594258672
"x10","~~","x10","",0.951802465082637,0.10594633262912,8.98381700869772,0,0.74932239812807,1.1596776394349,0.951802465082637,0.633927908809266
"x7","~~","x7","",1.05404980884436,0.103413281625894,10.1925960792684,0,0.84885966562891,1.25761095214746,1.05404980884436,0.581644235122831
"x19","~~","x19","",0.940571754683952,0.0934449541418749,10.0655167881607,0,0.756483382882237,1.12324593001521,0.940571754683952,0.533933508008806
"x28","~~","x28","",0.951955962185686,0.10330831200977,9.21470831984609,0,0.744477649301309,1.15406910412468,0.951955962185686,0.706419884235586
"x20","~~","x20","",0.727233793117595,0.079047325478253,9.19997974273864,0,0.570210629820582,0.882090532489185,0.727233793117595,0.561087370651888
"depression","~~","depression","",0.446832119991252,0.0922750660621686,4.84239284846686,1.28284817302315e-06,0.223268470211581,0.565064456961561,0.446832119991252,0.423081550319766
"internal","~~","internal","",0.204373225194803,0.0607920541661068,3.36184108265824,0.000774246689661862,0.0929077419786169,0.333570219698559,0.397087028799009,0.397087028799009
"relation","~~","relation","",0.549633978803307,0.119140314371599,4.61333329278448,3.96262109592094e-06,0.334477854054046,0.794983053240246,1,1
"med_i",":=","ir*di","med_i",0.905498741830475,0.336193258013488,2.69338756874817,0.00707299962087271,0.5557430801008,1.7626577247628,0.671312351505468,0.653227544509959
"total_i",":=","dr+med_i","total_i",0.754021742175017,0.113322275486731,6.65378222363091,2.85655943343954e-11,0.558964789184844,1.00397683790955,0.559011388356547,0.543951911133987
