"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"internal","=~","x13","",1,0,NA,NA,1,1,0.894360084004039,0.676117695620131
"internal","=~","x34","",0.633922488992153,0.0757229245320963,8.37160599526839,0,0.494359283123457,0.79333398813459,0.566954970507072,0.538521178036971
"internal","=~","x31","",0.951093184527276,0.0896363410868248,10.6105757218048,0,0.785742969538785,1.14100264682945,0.850619780409484,0.732760352262907
"internal","=~","x10","",0.498352282361445,0.0953682374512546,5.22555827474705,1.73630423816462e-07,0.316167974812804,0.68888879865406,0.445706389116387,0.363743672661895
"family","=~","x4","",1,0,NA,NA,1,1,0.771050055789225,0.621771453000974
"family","=~","x36","",1.20503809747306,0.268136598216094,4.49412018161693,6.98581688540756e-06,0.842609077045161,1.86910428851063,0.929144692284743,0.797658007678922
"internal","~","family","fi",0.629748325738484,0.108450928434441,5.80675827149941,6.36939900822142e-09,0.434508743610862,0.859380740155301,0.542921682640341,0.542921682640341
"risk","~","internal","ri",0.988950327839424,0.125130508831546,7.90335096591652,2.66453525910038e-15,0.773966258900341,1.27032899406911,0.884477698282289,0.803295032399391
"risk","~","family","rf",-0.0458304405802169,0.126988450629409,-0.360902431308214,0.718172385992419,-0.326313908271669,0.16901963617837,-0.035337563766221,-0.0320940703034462
"x13","~~","x13","",0.949886996976379,0.103365657151934,9.18958020631718,0,0.742622327086281,1.145371306319,0.949886996976379,0.542864861669324
"x34","~~","x34","",0.786949409816254,0.0757499257787467,10.3887812658036,0,0.640428791817128,0.931878708871195,0.786949409816254,0.709994940805673
"x31","~~","x31","",0.624002633477988,0.0780808417653198,7.99175084911986,1.33226762955019e-15,0.467987599554296,0.770801367611546,0.624002633477988,0.463062266151541
"x10","~~","x10","",1.3027818132884,0.102903302651068,12.66025268116,0,1.09872255276767,1.49616475571069,1.3027818132884,0.867690540598436
"x4","~~","x4","",0.943295025958902,0.128830622630037,7.32197832085129,2.44249065417534e-13,0.673259209610491,1.1735042808759,0.943295025958902,0.613400260233057
"x36","~~","x36","",0.493544523650659,0.193600453886898,2.54929424875723,0.0107941183324447,0.0287784519336424,0.783068004411491,0.493544523650659,0.363741702785692
"risk","~~","risk","",0.462726505338666,0.0718448316608504,6.44063733802044,1.18972831586461e-10,0.307282548162843,0.591810186849688,0.462726505338666,0.381681197240224
"internal","~~","internal","",0.564104180581225,0.107949575663547,5.22562666053827,1.73566257588575e-07,0.364538710725773,0.78723579030478,0.705236046518981,0.705236046518981
"family","~~","family","",0.594518188532568,0.142150803610779,4.18230620883726,2.88566956396785e-05,0.342159574019758,0.897704319331336,1,1
"med",":=","ri*fi","med",0.622789813195402,0.140327439585276,4.43811855354872,9.07486339762897e-06,0.394055860293785,0.948869178201819,0.480202120209276,0.436126290646904
"total",":=","med+rf","total",0.576959372615185,0.102269863109373,5.64153852438572,1.68537319655826e-08,0.387500946231903,0.78921040307814,0.444864556443055,0.404032220343458
