停止信号任务-ssrt,停止信号任务-go_rt,停止信号任务-rt_variability,第1题,第2题,第3题,第4题,第5题,第6题,第7题,第8题,第9题,第10题,第12题,第13题,第14题,第15题,第16题,第17题,第18题,第19题,第20题,第21题,第22题,第23题,第24题,第25题,第26题,第27题,第28题,第30题,第31题,第32题,第33题,第34题,第35题,第36题,性别,危机-自己,问题-抑郁,问题-焦虑
464.0,686.1918819188191,0.1655459640227693,4,2,4,3,5,2,5,4,5,2,4,4,3,3,4,3,5,5,3,2,3,3,2,2,2,4,4,3,4,3,2,3,1,2,0,2.25,3.75,4.25
290.0,601.9928057553957,0.1744895826348819,3,4,4,2,4,4,2,3,2,2,1,3,1,1,3,2,2,1,3,3,1,2,1,1,1,2,4,2,1,3,2,1,1,2,1,1.0,1.75,1.5
310.0,759.983870967742,0.1810595560282379,1,4,5,4,5,3,3,5,4,4,1,3,2,1,2,1,4,4,3,2,2,1,1,1,2,2,2,1,2,3,2,3,1,2,1,1.5,2.25,2.0
429.0,648.44061302682,0.1748289513391321,3,4,3,3,4,2,4,3,2,1,3,4,3,3,3,2,1,2,3,2,4,2,1,1,1,2,1,2,1,2,4,3,1,2,1,3.5,2.75,2.0
269.0,810.0053475935829,0.2321847563133906,2,3,1,3,3,4,5,2,4,3,2,4,1,1,3,5,2,3,2,1,5,4,1,1,3,4,3,3,2,1,5,3,2,2,1,4.0,3.25,4.0
303.0,793.7276595744681,0.1466155624254299,4,3,4,5,4,3,2,2,4,2,3,2,1,1,4,4,2,4,3,3,1,5,1,1,2,2,3,4,1,1,5,2,1,3,0,1.0,1.75,2.0
348.5,787.8578947368421,0.1649757323716569,2,1,2,4,3,3,3,1,4,2,3,4,1,1,3,2,3,5,4,3,1,2,1,1,3,2,4,3,4,2,1,3,1,2,0,4.25,3.75,3.0
209.0,796.64039408867,0.1736394767463329,1,4,4,5,5,4,5,3,5,3,3,4,2,3,3,5,4,5,4,4,1,5,1,1,1,5,2,5,4,3,5,3,2,3,0,1.75,3.0,3.5
560.5,680.3050847457627,0.2187928056785675,3,4,3,5,2,2,5,3,5,4,5,1,1,2,4,1,5,5,5,4,1,2,1,1,2,5,5,2,2,3,1,5,1,5,0,2.0,4.75,5.0
282.0,824.3118279569892,0.14279433023826,3,1,2,2,3,3,4,2,4,3,3,4,2,5,4,3,3,5,3,3,5,1,1,1,1,4,3,2,4,2,2,4,1,2,0,4.0,3.0,2.5
268.0,778.6391304347826,0.1494407292555211,2,2,2,2,3,3,2,3,3,1,3,1,2,2,1,1,3,1,2,1,1,1,1,1,1,1,1,3,1,2,1,4,2,1,0,4.0,3.5,3.5
383.0,738.9454545454546,0.1948999619679072,2,1,2,4,4,3,4,1,4,1,2,4,3,1,4,4,3,5,2,3,5,5,3,3,3,1,4,4,4,3,3,4,5,2,0,2.5,2.25,3.5
263.5,839.515625,0.1470316138905004,2,3,3,5,5,5,1,4,2,1,2,1,1,3,2,2,2,2,3,5,1,1,1,1,1,2,2,2,1,3,2,2,1,5,1,2.0,1.0,1.75
269.0,735.0138248847926,0.2517869875946385,3,2,2,5,3,3,4,2,3,1,2,3,1,2,3,3,1,2,3,2,3,2,1,1,1,2,1,2,1,2,2,2,1,2,0,2.0,1.75,2.5
349.5,585.8432835820895,0.1821548772256547,3,2,3,3,2,3,3,3,4,2,3,3,1,3,3,3,3,3,3,3,3,2,1,1,2,3,3,2,3,2,2,3,1,3,0,1.5,2.75,3.25
315.5,639.8676470588235,0.2030727545401346,5,4,2,5,2,3,3,1,1,3,2,4,2,1,3,5,5,2,2,3,3,4,1,1,2,2,2,4,1,2,5,3,1,3,1,3.0,1.0,1.0
